Date,Gold,Silver,Oil
2004-01-02,449.74,5.99,34.97
2004-01-05,451.39,5.99,34.56
2004-01-06,452.21,5.98,34.50
2004-01-07,452.54,5.99,34.82
2004-01-08,454.09,6.00,34.62
2004-01-09,451.85,6.01,34.99
2004-01-12,452.02,6.00,35.14
2004-01-13,448.80,5.99,35.28
2004-01-14,450.83,5.98,35.39
2004-01-15,451.45,6.02,35.08
2004-01-16,452.80,5.96,34.35
2004-01-19,451.50,5.92,34.59
2004-01-20,453.07,5.87,34.83
2004-01-21,450.86,5.87,34.75
2004-01-22,451.19,5.90,34.93
2004-01-23,452.05,5.93,35.07
2004-01-26,450.70,5.90,34.94
2004-01-27,451.89,5.89,35.60
2004-01-28,450.11,5.85,35.82
2004-01-29,453.37,5.87,36.06
2004-01-30,456.67,5.87,35.66
2004-02-02,455.53,5.91,35.25
2004-02-03,455.67,5.92,35.16
2004-02-04,457.39,5.94,35.82
2004-02-05,458.88,5.92,35.66
2004-02-06,457.04,5.96,35.51
2004-02-09,456.95,5.99,35.30
2004-02-10,456.34,5.92,35.00
2004-02-11,455.12,5.94,35.34
2004-02-12,455.14,5.95,35.39
2004-02-13,457.68,5.99,35.47
2004-02-16,455.43,6.02,35.58
2004-02-17,458.30,6.02,36.14
2004-02-18,457.54,6.09,36.18
2004-02-19,456.43,6.05,36.14
2004-02-20,459.75,6.08,36.34
2004-02-23,454.35,6.11,36.51
2004-02-24,453.17,6.09,36.51
2004-02-25,457.15,6.04,36.39
2004-02-26,460.33,6.03,36.29
2004-02-27,460.63,5.98,36.35
2004-03-01,457.91,6.01,36.36
2004-03-02,463.20,6.03,36.76
2004-03-03,460.26,6.02,36.86
2004-03-04,464.34,5.95,37.15
2004-03-05,465.79,6.02,37.37
2004-03-08,465.98,6.00,37.00
2004-03-09,466.50,5.99,37.60
2004-03-10,465.15,6.00,37.13
2004-03-11,464.30,6.02,37.38
2004-03-12,467.73,6.02,37.05
2004-03-15,468.87,6.04,37.20
2004-03-16,467.30,6.09,37.23
2004-03-17,469.00,6.14,37.42
2004-03-18,469.74,6.24,37.49
2004-03-19,469.12,6.24,37.94
2004-03-22,469.47,6.27,38.31
2004-03-23,468.34,6.19,38.40
2004-03-24,468.94,6.17,38.67
2004-03-25,470.44,6.13,38.84
2004-03-26,470.05,6.06,38.98
2004-03-29,470.01,6.03,39.15
2004-03-30,471.23,6.01,39.28
2004-03-31,473.69,5.98,39.40
2004-04-01,473.77,6.08,38.82
2004-04-02,475.49,6.07,38.79
2004-04-05,480.08,6.07,39.49
2004-04-06,479.09,6.08,39.34
2004-04-07,477.51,6.09,39.26
2004-04-08,478.06,6.00,39.89
2004-04-09,477.74,6.07,39.57
2004-04-12,478.51,6.21,39.30
2004-04-13,475.00,6.19,39.45
2004-04-14,476.72,6.24,39.38
2004-04-15,472.97,6.23,39.77
2004-04-16,474.14,6.14,39.76
2004-04-19,477.53,6.23,39.95
2004-04-20,478.34,6.18,39.68
2004-04-21,478.52,6.20,39.87
2004-04-22,477.45,6.16,39.62
2004-04-23,474.76,6.18,38.90
2004-04-26,474.04,6.21,39.37
2004-04-27,474.28,6.25,39.25
2004-04-28,472.59,6.22,39.73
2004-04-29,475.01,6.24,40.80
2004-04-30,475.00,6.27,40.90
2004-05-03,474.54,6.38,41.40
2004-05-04,471.30,6.36,41.54
2004-05-05,473.21,6.30,40.80
2004-05-06,468.77,6.30,40.77
